course_number,description
ARTH 5100.,Contemporary Art Theory and Criticism.  (4 Hours)
ARTH 5600.,Landscape and Ecology in Visual Culture.  (4 Hours)
ARTH 6211.,Advanced Performance Art.  (4 Hours)
ARTH 6962.,Elective.  (1-4 Hours)
ARTH 6976.,Directed Study.  (1-4 Hours)
ARTD 1001.,"Media Art, Culture, and Social Justice.  (2 Hours)"
ARTD 1002.,Seminar for ARTD 1001.  (2 Hours)
ARTD 1990.,Elective.  (1-4 Hours)
ARTD 2000.,Introduction to Immersive Media.  (4 Hours)
ARTD 2100.,Narrative Basics.  (4 Hours)
ARTD 2340.,Introduction to Computational Creative Practice.  (4 Hours)
ARTD 2350.,Photo Basics for Nonmajors.  (4 Hours)
ARTD 2360.,Introduction to Photography.  (4 Hours)
ARTD 2361.,Photo Tools.  (1 Hour)
ARTD 2370.,Animation Basics.  (4 Hours)
ARTD 2371.,Animation Tools.  (1 Hour)
ARTD 2380.,Video Basics.  (4 Hours)
ARTD 2381.,Video Tools.  (1 Hour)
ARTD 2990.,Elective.  (1-4 Hours)
ARTD 3000.,Topics in Media Arts.  (1-4 Hours)
ARTD 3460.,Photography: Concept + Process.  (4 Hours)
ARTD 3470.,Animation 1.  (4 Hours)
ARTD 3471.,Virtual Environment Design.  (4 Hours)
ARTD 3472.,Character Design for Animation.  (4 Hours)
ARTD 3473.,Animation for Games.  (4 Hours)
ARTD 3480.,Video: Sound and Image.  (4 Hours)
ARTD 3485.,Experimental Video.  (4 Hours)
ARTD 3490.,Data Art and Hacktivism.  (4 Hours)
ARTD 3990.,Elective.  (1-4 Hours)
ARTD 4530.,Media Arts Degree Project.  (4 Hours)
ARTD 4565.,Photography: Visual Strategies + Context.  (4 Hours)
ARTD 4570.,Animation 2.  (4 Hours)
ARTD 4575.,Animation 3.  (4 Hours)
ARTD 4577.,Digital Sculpture and Model Making.  (4 Hours)
ARTD 4660.,Studio Photography.  (4 Hours)
ARTD 4661.,Photography: Experimental Processes.  (4 Hours)
ARTD 4990.,Elective.  (1-4 Hours)
ARTD 6490.,Advanced Data Art and Hacktivism.  (4 Hours)
ARTS 1990.,Elective.  (1-4 Hours)
ARTS 2330.,Sculpture Basics.  (4 Hours)
ARTS 2340.,Painting Basics.  (4 Hours)
ARTS 2341.,Figure Drawing.  (4 Hours)
ARTS 2990.,Elective.  (1-4 Hours)
ARTS 3449.,Drawing in Mixed Media.  (4 Hours)
ARTS 3990.,Elective.  (1-4 Hours)
ARTS 4990.,Elective.  (1-4 Hours)
ARTS 4992.,Directed Study.  (1-4 Hours)
AACE 1990.,Elective.  (1-4 Hours)
AACE 2990.,Elective.  (1-4 Hours)
AACE 3990.,Elective.  (1-4 Hours)
AACE 4990.,Elective.  (1-4 Hours)
AACE 6000.,Arts and Culture Organizational Leadership.  (3 Hours)
AACE 6010.,Planning for Arts and Cultural Organizations.  (3 Hours)
AACE 6020.,Experiential Study in Arts Administration.  (3 Hours)
AACE 6110.,Information Technology for Arts and Cultural Organizations.  (3 Hours)
AACE 6120.,Advocacy and the Arts.  (3 Hours)
AACE 6200.,Programming and Community Engagement for Cultural Entrepreneurs.  (3 Hours)
AACE 6210.,Building Value Through Cultural Enterprise.  (3 Hours)
AACE 6220.,Innovative Approaches to Audience Engagement.  (3 Hours)
AACE 6300.,Fundraising in the Arts.  (3 Hours)
AACE 6962.,Elective.  (1-4 Hours)
ASNS 1150.,East Asian Studies.  (4 Hours)
ASNS 1246.,World War II in the Pacific.  (4 Hours)
ASNS 1990.,Elective.  (1-4 Hours)
ASNS 2245.,Introduction to Asian American Studies.  (4 Hours)
ASNS 2990.,Elective.  (1-4 Hours)
ASNS 3100.,Asian American Cinemas.  (4 Hours)
ASNS 3482.,East Asian Politics.  (4 Hours)
ASNS 3485.,China: Governance and Foreign Policy.  (4 Hours)
ASNS 3990.,Elective.  (1-4 Hours)
ASNS 4900.,Asian Studies Capstone Directed Study.  (4 Hours)
ASNS 4990.,Elective.  (1-4 Hours)
ASNS 4992.,Directed Study.  (1-4 Hours)
BNSC 1000.,Behavioral Neuroscience at Northeastern.  (1 Hour)
BNSC 1990.,Elective.  (1-4 Hours)
BNSC 2990.,Elective.  (1-4 Hours)
BNSC 3990.,Elective.  (1-4 Hours)
BNSC 4900.,Behavioral Neuroscience Capstone.  (1 Hour)
BNSC 4950.,Seminar.  (1-4 Hours)
BNSC 4970.,Junior/Senior Honors Project 1.  (4 Hours)
BNSC 4971.,Junior/Senior Honors Project 2.  (4 Hours)
BNSC 4990.,Elective.  (1-4 Hours)
BNSC 4991.,Research.  (4 Hours)
BNSC 4994.,Internship.  (4 Hours)
BIOC 1000.,Biochemistry at Northeastern.  (1 Hour)
BIOC 1990.,Elective.  (1-4 Hours)
BIOC 2990.,Elective.  (1-4 Hours)
BIOC 3990.,Elective.  (1-4 Hours)
BIOC 4900.,Biochemistry Capstone.  (1 Hour)
BIOC 4970.,Junior/Senior Honors Project 1.  (4 Hours)
BIOC 4971.,Junior/Senior Honors Project 2.  (4 Hours)
BIOC 4990.,Elective.  (1-4 Hours)
BIOC 4991.,Research.  (4 Hours)
BIOC 4994.,Internship.  (4 Hours)
BIOC 6962.,Elective.  (1-4 Hours)
BIOE 1990.,Elective.  (1-4 Hours)
BIOE 2350.,Biomechanics.  (4 Hours)
BIOE 2355.,Quantitative Physiology for Bioengineers.  (4 Hours)
BIOE 2365.,"Bioengineering Measurement, Experimentation, and Statistics.  (4 Hours)"
BIOE 2366.,Lab for BIOE 2365.  (1 Hour)
BIOE 2949.,Introductory Directed Research in Bioengineering.  (4 Hours)
BIOE 2990.,Elective.  (1-4 Hours)
BIOE 3210.,Bioelectricity.  (4 Hours)
BIOE 3310.,Transport and Fluids for Bioengineers.  (4 Hours)
BIOE 3380.,Biomolecular Dynamics and Control.  (4 Hours)
BIOE 3410.,Experimental Laboratory Methods.  (4 Hours)
BIOE 3990.,Elective.  (1-4 Hours)
BIOE 4790.,Capstone Design 1.  (4 Hours)
BIOE 4792.,Capstone Design 2.  (4 Hours)
BIOE 4970.,Junior/Senior Honors Project 1.  (4 Hours)
BIOE 4971.,Junior/Senior Honors Project 2.  (4 Hours)
BIOE 4990.,Elective.  (1-4 Hours)
BIOE 4991.,Research.  (4 Hours)
BIOE 4992.,Directed Study.  (1-4 Hours)
BIOE 5060.,Special Topics in Bioengineering.  (4 Hours)
BIOE 5115.,Dynamical Systems in Biological Engineering.  (4 Hours)
BIOE 5235.,Biomedical Imaging.  (4 Hours)
BIOE 5250.,Regulatory and Quality Aspects of Medical Device Design.  (4 Hours)
BIOE 5410.,Molecular Bioengineering.  (4 Hours)
BIOE 5411.,Applied Molecular Bioengineering.  (4 Hours)
BIOE 5420.,Cellular Engineering.  (4 Hours)
BIOE 5430.,Principles and Applications of Tissue Engineering.  (4 Hours)
BIOE 5440.,The Cell as a Machine.  (4 Hours)
BIOE 5450.,Stem Cell Engineering.  (4 Hours)
BIOE 5510.,Bioengineering Products/Technology Commercialization.  (4 Hours)
BIOE 5630.,Physiological Fluid Mechanics.  (4 Hours)
BIOE 5640.,Computational Biomechanics.  (4 Hours)
BIOE 5648.,Biomedical Optics.  (4 Hours)
BIOE 5650.,Multiscale Biomechanics.  (4 Hours)
BIOE 5710.,Experimental Systems and Synthetic Bioengineering.  (4 Hours)
BIOE 5720.,Physical Bioengineering.  (4 Hours)
BIOE 5750.,Modeling and Inference in Bioengineering.  (4 Hours)
BIOE 5760.,Method and Logic in Systems Biology and Bioengineering.  (4 Hours)
BIOE 5800.,"Systems, Signals, and Controls for Bioengineers.  (4 Hours)"
BIOE 5810.,Design of Biomedical Instrumentation.  (4 Hours)
BIOE 5820.,Biomaterials.  (4 Hours)
BIOE 5850.,Design of Implants.  (4 Hours)
BIOE 5860.,Engineering Approaches to Precision Medicine I.  (4 Hours)
BIOE 5870.,Engineering Approaches to Precision Medicine II.  (4 Hours)
BIOE 5880.,Computational Methods in Systems Bioengineering.  (4 Hours)
BIOE 6000.,Principles of Bioengineering.  (1 Hour)
BIOE 6100.,Medical Physiology.  (4 Hours)
BIOE 6200.,Mathematical Methods in Bioengineering.  (4 Hours)
BIOE 6962.,Elective.  (1-4 Hours)
BIOE 7000.,Principles of Bioengineering.  (4 Hours)
BIOE 7390.,Seminar.  (0 Hours)
BIOE 7391.,Student Seminar.  (0 Hours)
BIOE 7890.,Master’s Project.  (4 Hours)
BIOE 7962.,Elective.  (1-4 Hours)
BIOE 7986.,Research.  (0 Hours)
BIOE 7990.,Thesis.  (4 Hours)
BIOE 7996.,Thesis Continuation - Half-Time.  (0 Hours)
BIOE 8960.,Exam Preparation—Doctoral.  (0 Hours)
BIOE 8986.,Research.  (0 Hours)
BIOE 9000.,PhD Candidacy Achieved.  (0 Hours)
BIOE 9986.,Research.  (0 Hours)
BIOE 9990.,Dissertation Term 1.  (0 Hours)
BIOE 9991.,Dissertation Term 2.  (0 Hours)
BIOE 9996.,Dissertation Continuation.  (0 Hours)
BINF 1990.,Elective.  (1-4 Hours)
BINF 2990.,Elective.  (1-4 Hours)
BINF 3990.,Elective.  (1-4 Hours)
BINF 4990.,Elective.  (1-4 Hours)
BINF 5964.,Projects for Professionals.  (0 Hours)
BINF 5976.,Directed Study.  (1-4 Hours)
BINF 6062.,Elective.  (1-4 Hours)
BINF 6200.,Bioinformatics Programming.  (4 Hours)
BINF 6201.,Introduction to Bioinformatics Using RNA Sequencing.  (4 Hours)
BINF 6308.,Bioinformatics Computational Methods 1.  (4 Hours)
BINF 6309.,Bioinformatics Computational Methods 2.  (4 Hours)
BINF 6310.,Introduction to Computational Methods in Bioinformatics.  (4 Hours)
BINF 6400.,Genomics in Bioinformatics.  (4 Hours)
BINF 6420.,Omics in Bioinformatics.  (4 Hours)
BINF 6430.,Transcriptomics in Bioinformatics.  (4 Hours)
BINF 6500.,Professional Development for Co-op.  (0 Hours)
BINF 6900.,Pre–Co-op Experience.  (0 Hours)
BINF 6954.,Co-op Work Experience - Half-Time.  (0 Hours)
BINF 6962.,Elective.  (1-4 Hours)
BINF 6964.,Co-op Work Experience.  (0 Hours)
BINF 6965.,Co-op Work Experience Abroad.  (0 Hours)
BINF 7385.,Bioinformatics Seminar.  (2 Hours)
BIOL 1000.,Biology at Northeastern.  (1 Hour)
BIOL 1107.,Foundations of Biology.  (4 Hours)
BIOL 1108.,Lab for BIOL 1107.  (1 Hour)
BIOL 1111.,General Biology 1.  (4 Hours)
BIOL 1112.,Lab for BIOL 1111.  (1 Hour)
BIOL 1113.,General Biology 2.  (4 Hours)
BIOL 1114.,Lab for BIOL 1113.  (1 Hour)
BIOL 1115.,General Biology 1 for Engineers.  (4 Hours)
BIOL 1116.,Lab for BIOL 1115.  (1 Hour)
BIOL 1141.,Microbes and Society.  (4 Hours)
BIOL 1143.,Biology and Society.  (4 Hours)
BIOL 1147.,The Human Organism.  (4 Hours)
BIOL 1149.,Biology of Human Reproduction.  (4 Hours)
BIOL 1153.,Human Genome Editing: Science and Ethics.  (4 Hours)
BIOL 1990.,Elective.  (1-4 Hours)
BIOL 2217.,Integrated Anatomy and Physiology 1.  (4 Hours)
BIOL 2218.,Lab for BIOL 2217.  (1 Hour)
BIOL 2219.,Integrated Anatomy and Physiology 2.  (4 Hours)
BIOL 2220.,Lab for BIOL 2219.  (1 Hour)
BIOL 2221.,Foundations of Microbiology.  (4 Hours)
BIOL 2222.,Lab for BIOL 2221.  (1 Hour)
BIOL 2299.,Inquiries in Biological Sciences.  (4 Hours)
BIOL 2301.,Genetics and Molecular Biology.  (4 Hours)
BIOL 2302.,Lab for BIOL 2301.  (1 Hour)
BIOL 2309.,Biology Project Lab.  (4 Hours)
BIOL 2327.,Human Parasitology.  (4 Hours)
BIOL 2329.,Bioethics.  (4 Hours)
BIOL 2990.,Elective.  (1-4 Hours)
BIOL 2991.,Research in Biology.  (1-4 Hours)
BIOL 3401.,Comparative Vertebrate Anatomy.  (4 Hours)
BIOL 3405.,Neurobiology.  (4 Hours)
BIOL 3409.,Current Topics in Biology.  (4 Hours)
BIOL 3411.,Current Topics in Cell and Molecular Biology.  (4 Hours)
BIOL 3413.,Current Topics in Organismal and Population Biology.  (4 Hours)
BIOL 3415.,Current Topics in Behavioral Neuroscience.  (4 Hours)
BIOL 3419.,Engaging with Genomics: Ethics Law and Policy.  (4 Hours)
BIOL 3421.,Microbiology.  (4 Hours)
BIOL 3422.,Lab for BIOL 3421.  (1 Hour)
BIOL 3423.,Animal Models in Biomedical Research.  (4 Hours)
BIOL 3601.,Neural Systems and Behavior.  (4 Hours)
BIOL 3603.,Mammalian Systems Physiology.  (4 Hours)
BIOL 3605.,Developmental Neurobiology.  (4 Hours)
BIOL 3607.,Current Trends in Reproductive Sciences.  (4 Hours)
BIOL 3611.,Biochemistry.  (4 Hours)
BIOL 3612.,Lab for BIOL 3611.  (1 Hour)
BIOL 3990.,Elective.  (1-4 Hours)
BIOL 4701.,Biology Capstone.  (4 Hours)
BIOL 4705.,Neurobiology of Cognitive Decline.  (4 Hours)
BIOL 4707.,Cell and Molecular Biology.  (4 Hours)
BIOL 4709.,Neurobiology of Learning and Memory.  (4 Hours)
BIOL 4900.,Biology Research Capstone.  (1 Hour)
BIOL 4970.,Junior/Senior Honors Project 1.  (4 Hours)
BIOL 4971.,Junior/Senior Honors Project 2.  (4 Hours)
BIOL 4990.,Elective.  (1-4 Hours)
BIOL 4991.,Research.  (4 Hours)
BIOL 4994.,Internship.  (4 Hours)
BIOL 5100.,Biology Colloquium.  (1 Hour)
BIOL 5301.,Clinical Embryology.  (4 Hours)
BIOL 5303.,Human Development.  (4 Hours)
BIOL 5541.,Endocrinology.  (4 Hours)
BIOL 5543.,Stem Cells and Regeneration.  (4 Hours)
BIOL 5549.,Inventions in Microbial Biotechnology.  (4 Hours)
BIOL 5573.,Medical Microbiology.  (4 Hours)
BIOL 5581.,Biological Imaging.  (4 Hours)
BIOL 5583.,Immunology.  (4 Hours)
BIOL 5585.,Evolution.  (4 Hours)
BIOL 5587.,Comparative Neurobiology.  (4 Hours)
BIOL 5591.,Advanced Genomics.  (4 Hours)
BIOL 5593.,Cell and Molecular Biology of Aging.  (4 Hours)
BIOL 5595.,Cell and Molecular Neuroscience.  (4 Hours)
BIOL 5597.,Immunotherapies of Cancer and Infectious Disease.  (4 Hours)
BIOL 5601.,Multidisciplinary Approaches in Motor Control.  (4 Hours)
BIOL 6299.,Molecular Cell Biology for Biotechnology.  (3 Hours)
BIOL 6300.,Biochemistry.  (4 Hours)
BIOL 6301.,Molecular Cell Biology.  (4 Hours)
BIOL 6303.,Neurobiology and Behavior.  (4 Hours)
BIOL 6381.,Ethics in Biological Research.  (2 Hours)
BIOL 6401.,Research Methods and Critical Analysis in Molecular Cell Biology.  (4 Hours)
BIOL 6405.,Prokaryotic Cell and Molecular Biology.  (4 Hours)
BIOL 6962.,Elective.  (1-4 Hours)
BIOL 7399.,"Research Problem Solving, Ethics, and Communication Skills.  (4 Hours)"
BIOL 7962.,Elective.  (1-4 Hours)
BIOL 7986.,Research.  (0 Hours)
BIOL 7990.,Thesis.  (1-4 Hours)
BIOL 7996.,Thesis Continuation - Half-Time.  (0 Hours)
BIOL 8420.,Biological Lab Rotation 1.  (4 Hours)
BIOL 8421.,Biological Lab Rotation 2.  (4 Hours)
BIOL 8960.,Exam Preparation—Doctoral.  (0 Hours)
BIOL 8982.,Readings.  (1-4 Hours)
BIOL 8984.,Research.  (1-4 Hours)
BIOL 8986.,Research.  (0 Hours)
BIOL 9000.,PhD Candidacy Achieved.  (0 Hours)
BIOL 9984.,Research.  (1-4 Hours)
BIOL 9990.,Dissertation Term 1.  (0 Hours)
BIOL 9991.,Dissertation Term 2.  (0 Hours)
BIOL 9996.,Dissertation Continuation.  (0 Hours)
BIO 1050.,edical Terminology.  (3 Hours)
BIO 1100.,rinciples of Biology 1.  (3 Hours)
BIO 1101.,ab for BIO 1100.  (1 Hour)
BIO 1200.,rinciples of Biology 2.  (3 Hours)
BIO 1201.,ab for BIO 1200.  (1 Hour)
BIO 1600.,uman Anatomy and Physiology 1.  (3 Hours)
BIO 1601.,ab for BIO 1600.  (1 Hour)
BIO 1700.,uman Anatomy and Physiology 2.  (3 Hours)
BIO 1701.,ab for BIO 1700.  (1 Hour)
BIO 1990.,lective.  (1-4 Hours)
BIO 2100.,icrobiology.  (3 Hours)
BIO 2101.,ab for BIO 2100.  (1 Hour)
BIO 2300.,ell Biology.  (3 Hours)
BIO 2500.,enetics and Molecular Biology.  (3 Hours)
BIO 2501.,ab for BIO 2500.  (1 Hour)
BIO 2990.,lective.  (1-4 Hours)
BIO 3100.,iochemistry.  (3 Hours)
BIO 3101.,ab for BIO 3100.  (1 Hour)
BIO 3990.,lective.  (1-4 Hours)
BIO 4215.,uman Parasitology.  (3 Hours)
BIO 4850.,iological Sciences Senior Project.  (3 Hours)
BIO 4955.,roject.  (1-4 Hours)
BIO 4983.,opics.  (1-4 Hours)
BIO 4990.,lective.  (1-4 Hours)
BIO 6962.,lective.  (1-4 Hours)
BIO 7962.,lective.  (1-4 Hours)
BIOT 5120.,Foundations in Biotechnology.  (3 Hours)
BIOT 5145.,Basic Biotechnology Lab Skills.  (1 Hour)
BIOT 5219.,The Biotechnology Enterprise.  (2 Hours)
BIOT 5220.,"The Role of Patents in the Biotechnology Industry, Past and Future.  (1 Hour)"
BIOT 5225.,Managing and Leading a Biotechnology Company.  (3 Hours)
BIOT 5226.,Biotechnology Entrepreneurship.  (3 Hours)
BIOT 5227.,Launching Your Science: Biotechnology Entrepreneurship.  (3 Hours)
BIOT 5330.,Drug Safety and Immunogenicity.  (3 Hours)
BIOT 5340.,Introduction to Biotherapeutic Approvals.  (3 Hours)
BIOT 5400.,Scientific Information Management for Biotechnology Managers.  (3 Hours)
BIOT 5500.,Concepts in Regulatory Science.  (3 Hours)
BIOT 5560.,Bioprocess Fundamentals.  (3 Hours)
BIOT 5621.,Protein Principles in Biotechnology.  (3 Hours)
BIOT 5631.,Cell Culture Processes for Biopharmaceutical Production.  (3 Hours)
BIOT 5635.,Downstream Processes for Biopharmaceutical Production.  (3 Hours)
BIOT 5640.,Drug Product Processes for Biopharmaceuticals.  (3 Hours)
BIOT 5700.,Molecular Interactions of Proteins in Biopharmaceutical Formulations.  (3 Hours)
BIOT 5800.,Gene Therapies.  (2 Hours)
BIOT 5810.,Cutting-Edge Applications in Molecular Biotechnology.  (3 Hours)
BIOT 5820.,Cellular Therapies.  (2 Hours)
BIOT 5830.,Regulatory Landscape of Cell and Gene Therapies.  (2 Hours)
BIOT 5840.,Cell and Gene Therapy Lab.  (3 Hours)
BIOT 5850.,Higher-Order Structure Analytics.  (3 Hours)
BIOT 5910.,Vaccines and Immunization.  (3 Hours)
BIOT 5920.,Foundations in Vaccine Regulatory Science.  (3 Hours)
BIOT 5930.,Molecular Tools for Vaccine Design.  (3 Hours)
BIOT 5964.,Projects for Professionals.  (0 Hours)
BIOT 5976.,Directed Study.  (1-4 Hours)
BIOT 6100.,Agricultural Biotechnology.  (3 Hours)
BIOT 6110.,"Cannabis Biotechnology: Science, Society, and Regulation.  (3 Hours)"
BIOT 6214.,Experimental Design and Biostatistics.  (2 Hours)
BIOT 6290.,Foundation in Quality for Biotechnology.  (3 Hours)
BIOT 6300.,Pharmaceutical Microbiology.  (3 Hours)
BIOT 6310.,CGMP Statutes and Regulation.  (3 Hours)
BIOT 6320.,Quality Management Systems and Validation.  (3 Hours)
BIOT 6340.,Sterile Manufacturing Operations.  (3 Hours)
BIOT 6400.,Pre-co-op Experience.  (0 Hours)
BIOT 6500.,Professional Development for Co-op.  (0 Hours)
BIOT 6600.,Agents of Bioterrorism.  (3 Hours)
BIOT 6610.,Biosecurity and Bioterrorism.  (3 Hours)
BIOT 6954.,Co-op Work Experience - Half-Time.  (0 Hours)
BIOT 6955.,Co-op Work Experience Abroad - Half-Time.  (0 Hours)
BIOT 6962.,Elective.  (1-4 Hours)
BIOT 6964.,Co-op Work Experience.  (0 Hours)
BIOT 6965.,Co-op Work Experience Abroad.  (0 Hours)
BIOT 6980.,Biotechnology Capstone.  (2 Hours)
BIOT 7245.,Biotechnology Applications Laboratory.  (3 Hours)
BIOT 7250.,Advanced Biotechnology Applications Laboratory.  (3 Hours)
BTC 1300.,ntroduction to Biotechnology.  (3 Hours)
BTC 1301.,ab for BTC 1300.  (1 Hour)
BTC 1990.,lective.  (1-4 Hours)
BTC 2700.,ell and Tissue Culture Techniques.  (3 Hours)
BTC 2701.,ab for BTC 2700.  (1 Hour)
BTC 2990.,lective.  (1-4 Hours)
BTC 3990.,lective.  (1-4 Hours)
BTC 4300.,iotechnology and Pharmaceutical Processing.  (3 Hours)
BTC 4301.,ab for BTC 4300.  (1 Hour)
BTC 4450.,uality Control and Validation Issues.  (3 Hours)
BTC 4850.,iotechnology Senior Project.  (3 Hours)
BTC 4990.,lective.  (1-4 Hours)
BTC 5210.,uman Experimentation: Methodological Issues Fundamentals.  (3 Hours)
BTC 6210.,uman Experimentation: Methodological Issues Fundamentals.  (4 Hours)
BTC 6211.,alidation and Auditing of Clinical Trial Information.  (4 Hours)
BTC 6213.,linical Trial Design Optimization and Problem Solving.  (4 Hours)
BTC 6962.,lective.  (1-4 Hours)
BUSN 1101.,Introduction to Business.  (4 Hours)
BUSN 1102.,Personal Skill Development for Business.  (1 Hour)
BUSN 1103.,Professional Development for Business Co-op.  (1 Hour)
BUSN 1106.,Essentials of Business.  (2 Hours)
BUSN 1990.,Elective.  (1-4 Hours)
BUSN 2963.,"Topics.  (1,2 Hours)"
BUSN 2990.,Elective.  (1-4 Hours)
BUSN 2992.,Research.  (0 Hours)
BUSN 3110.,The Consulting Environment.  (4 Hours)
BUSN 3944.,Junior/Senior Internship.  (1 Hour)
BUSN 3990.,Elective.  (1-4 Hours)
BUSN 4990.,Elective.  (1-4 Hours)
BUSN 4992.,Directed Study.  (1-4 Hours)
BUSN 4998.,Research.  (0 Hours)
BUSN 5963.,"Topics.  (1,2 Hours)"
BUSN 5964.,Projects for Professionals.  (0 Hours)
BUSN 5965.,Engaging with Industry Partners for Rising Professionals.  (0 Hours)
BUSN 6200.,Career Management.  (0 Hours)
BUSN 6296.,Introduction to Data Storytelling and Visualization for Business.  (1 Hour)
BUSN 6297.,Leading Business Transformation.  (1 Hour)
BUSN 6298.,Supply Chain Impact on Reaching Net Zero.  (1 Hour)
BUSN 6299.,Building Profitable and Sustainable Online Experiences.  (1 Hour)
BUSN 6324.,Predictive Analytics for Managers.  (1 Hour)
BUSN 6341.,Digital Financial Models—How to Value an e-Business.  (1 Hour)
BUSN 6343.,"Sharing Economy, Crowdsourcing, and Digital Business Transformation.  (1 Hour)"
BUSN 6344.,The Fintech Revolution.  (1 Hour)
BUSN 6347.,Change in the Digital Era.  (1 Hour)
BUSN 6350.,Managerial Coaching.  (1 Hour)
BUSN 6351.,Experiential Education.  (1-3 Hours)
BUSN 6352.,Python for Business Analytics.  (1 Hour)
BUSN 6353.,Business Ethics: Compliance and Enforcement.  (1 Hour)
BUSN 6354.,Creating Value through Artificial Intelligence.  (1 Hour)
BUSN 6363.,Social Impact of Business.  (2 Hours)
BUSN 6365.,Business Analytics.  (3 Hours)
BUSN 6366.,International Corporate Governance and Strategic Thinking.  (1 Hour)
